contentId	difficulty	front	back	tags
COMP215-exam_2022_2023_1-C001	1	“计算机系统”最完整的两大部分是什么？	硬件系统和软件系统。	基础概念
COMP215-exam_2022_2023_1-C002	1	二进制 1010 对应的十进制数是什么？	10。	进制
COMP215-exam_2022_2023_1-C003	1	操作系统属于哪类软件？	系统软件。	软件分类
COMP215-exam_2022_2023_1-C004	1	Microsoft Office 属于哪类软件？	办公软件套件（应用软件）。	Office
COMP215-exam_2022_2023_1-C005	2	计算机网络的核心功能三项是什么？	资源共享、数据通信、分布式处理。	网络
COMP215-exam_2022_2023_1-C006	1	Word 设置字体格式通常走哪个菜单类别？	“格式”相关菜单/功能区。	Word
COMP215-exam_2022_2023_1-C007	1	Excel 中求平均值函数是什么？	AVERAGE。	Excel,函数
COMP215-exam_2022_2023_1-C008	1	病毒在本质上属于什么？	属于人为编写的程序。	安全
COMP215-exam_2022_2023_1-C009	2	计算机最小存储单位是什么？	位（bit，比特）。	存储
COMP215-exam_2022_2023_1-C010	1	运算器进行哪两类运算？	算术运算和逻辑运算。	硬件
COMP215-exam_2022_2023_1-C011	1	回收站用于存放什么类型的文件？	被删除但可恢复的文件。	Windows
COMP215-exam_2022_2023_1-C012	1	PowerPoint 是什么用途的软件？	用于制作演示文稿。	PPT
COMP215-exam_2022_2023_1-C013	2	数据库里最核心的数据组织单位是什么？	表（Table）。	数据库
COMP215-exam_2022_2023_1-C014	2	源程序变为目标程序的过程叫什么？	编译。	编译原理
COMP215-exam_2022_2023_1-C015	1	CPU 由哪两个功能部件构成？	运算器和控制器。	硬件
COMP215-exam_2022_2023_1-C016	2	提高系统安全的四个最小动作是什么？	装杀毒、打补丁、不点可疑链接、设置强密码。	安全
COMP215-exam_2022_2023_1-C017	2	硬盘和内存在速度与用途上的差异是什么？	内存更快、容量较小；硬盘更慢、容量大且断电可保存。	存储
COMP215-exam_2022_2023_1-C018	2	固态硬盘与机械硬盘的关键差异是什么？	SSD 用闪存芯片，无机械结构，随机读写更快。	存储
COMP215-exam_2022_2023_1-C019	1	网络拓扑里常考的四种结构是什么？	星型、总线型、环型、树型。	网络,拓扑
COMP215-exam_2022_2023_1-C020	2	系统软件和应用软件怎么快速区分？	系统软件服务计算机本身，应用软件服务具体业务任务。	软件分类
