contentId	difficulty	front	back	tags
ENGL215-exam_2021_2022_1-C001	2	determined to carry out his plan 的核心含义是什么？	表示“下定决心执行计划”，关键词是 strong will。	词汇,短语
ENGL215-exam_2021_2022_1-C002	1	covered 14100 miles 在语境中最准确的中文动作是什么？	表示“行进/旅行了14100英里”，核心动词是 traveled。	词汇,短语
ENGL215-exam_2021_2022_1-C003	2	sail single-handed round the world 中 single-handed 的含义是什么？	表示“单独完成、独自一人”，即 by oneself alone。	词汇,短语
ENGL215-exam_2021_2022_1-C004	1	fortunately 与 luckily 在语义上是什么关系？	两者是近义词，都表示“幸运地”。	词汇
ENGL215-exam_2021_2022_1-C005	1	damage to the boat 对应的高频释义是什么？	指“对船只造成的损害/伤害”，对应 harm。	词汇
ENGL215-exam_2021_2022_1-C006	1	a ship nearby 中 nearby 的高频义是什么？	表示“在附近、不远处”。	词汇
ENGL215-exam_2021_2022_1-C007	2	conquer fear 的语义重点是什么？	表示“克服恐惧”，conquer 在此是 overcome。	词汇,搭配
ENGL215-exam_2021_2022_1-C008	1	moreover 在连接句子时表示什么逻辑？	表示递进补充，等于 besides。	词汇,连接词
ENGL215-exam_2021_2022_1-C009	3	强调句型 It was not until ... that ... 的基本结构是什么？	It was not until + 时间/从句 + that + 主句，其作用是强调“直到……才……”。	语法,强调句
ENGL215-exam_2021_2022_1-C010	3	It was several minutes before I became aware of what was happening. 这句里 aware 后接什么结构？	aware 后常接 of + 名词/what 从句，如 aware of what was happening。	语法,从句
ENGL215-exam_2021_2022_1-C011	2	I'm sure we have disturbed you at your work. 这里 sure 常见搭配是什么？	主语是人时常用 I am sure + 从句；It is sure 属于不地道表达。	语法,固定搭配
ENGL215-exam_2021_2022_1-C012	3	Dr. Smith went into the lab, his students following him closely. 这是哪类结构？	这是独立主格/伴随状语结构：名词 + 现在分词。	语法,非谓语
ENGL215-exam_2021_2022_1-C013	2	be involved in 的高频语义是什么？	表示“参与/卷入某事”，如 be involved in the robbery。	词汇,搭配
ENGL215-exam_2021_2022_1-C014	2	for winter is round the corner 中 round the corner 表示什么？	表示“即将到来、迫在眉睫”。	词汇,短语
ENGL215-exam_2021_2022_1-C015	2	considering his age 在句中起什么作用？	作介词短语，表示“考虑到他的年龄”。	语法,介词
ENGL215-exam_2021_2022_1-C016	2	break into tears 是什么固定搭配？	表示“突然哭起来”，break into + 名词。	词汇,固定搭配
ENGL215-exam_2021_2022_1-C017	2	be worthy of doing / be worth doing 的区别是什么？	worthy 常接 of + 名词/doing；worth 直接接 doing，不接 of。	语法,易错
ENGL215-exam_2021_2022_1-C018	2	Rain does not necessarily bring down the temperature. necessarily 表达什么？	表示“不一定、未必”，用于部分否定语境。	词汇,语义
ENGL215-exam_2021_2022_1-C019	3	翻译句子时“not only ... but also ...”常见平行原则是什么？	并列成分应保持语法平行，如 improve not only listening but also speaking skills。	写作,语法
ENGL215-exam_2021_2022_1-C020	3	翻译长句时先处理什么最稳妥？	先找主干（主语-谓语-宾语），再补充定语和状语，避免全句直译失真。	翻译,方法
